symbol,date,price
AAPL,9/23/2022,150.43
AAPL,9/22/2022,152.74
AAPL,9/21/2022,153.72
AAPL,9/20/2022,156.9
AAPL,9/19/2022,154.48
AAPL,9/16/2022,150.7
AAPL,9/15/2022,152.37
AAPL,9/14/2022,155.43
AAPL,9/13/2022,153.84
AAPL,9/12/2022,163.43
AAPL,9/9/2022,157.37
AAPL,9/8/2022,154.45
AAPL,9/7/2022,155.96
AAPL,9/6/2022,154.53
AAPL,9/2/2022,155.81
AAPL,9/1/2022,157.96
AAPL,8/31/2022,157.22
AAPL,8/30/2022,158.91
AAPL,8/29/2022,161.38
AAPL,8/26/2022,163.62
AAPL,8/25/2022,170.03
AAPL,8/24/2022,167.53
AAPL,8/23/2022,167.23
AAPL,8/22/2022,167.57
AAPL,8/19/2022,171.52
AAPL,8/18/2022,174.15
AAPL,8/17/2022,174.55
AAPL,8/16/2022,173.03
AAPL,8/15/2022,173.19
AAPL,8/12/2022,172.1
AAPL,8/11/2022,168.49
AAPL,8/10/2022,169.24
AAPL,8/9/2022,164.92
AAPL,8/8/2022,164.87
AAPL,8/5/2022,165.35
AAPL,8/4/2022,165.81
AAPL,8/3/2022,166.13
AAPL,8/2/2022,160.01
AAPL,8/1/2022,161.51
AAPL,7/29/2022,162.51
AAPL,7/28/2022,157.35
AAPL,7/27/2022,156.79
AAPL,7/26/2022,151.6
AAPL,7/25/2022,152.95
AAPL,7/22/2022,154.09
AAPL,7/21/2022,155.35
AAPL,7/20/2022,153.04
AAPL,7/19/2022,151
AAPL,7/18/2022,147.07
AAPL,7/15/2022,150.17
AAPL,7/14/2022,148.47
AAPL,7/13/2022,145.49
AAPL,7/12/2022,145.86
AAPL,7/11/2022,144.87
AAPL,7/8/2022,147.04
AAPL,7/7/2022,146.35
AAPL,7/6/2022,142.92
AAPL,7/5/2022,141.56
AAPL,7/1/2022,138.93
AAPL,6/30/2022,136.72
AAPL,6/29/2022,139.23
AAPL,6/28/2022,137.44
AAPL,6/27/2022,141.66
AAPL,6/24/2022,141.66
AAPL,6/23/2022,138.27
AAPL,6/22/2022,135.35
AAPL,6/21/2022,135.87
AAPL,6/17/2022,131.56
AAPL,6/16/2022,130.06
AAPL,6/15/2022,135.43
AAPL,6/14/2022,132.76
AAPL,6/13/2022,131.88
AAPL,6/10/2022,137.13
AAPL,6/9/2022,142.64
AAPL,6/8/2022,147.96
AAPL,6/7/2022,148.71
AAPL,6/6/2022,146.14
AAPL,6/3/2022,145.38
AAPL,6/2/2022,151.21
AAPL,6/1/2022,148.71
AAPL,5/31/2022,148.84
AAPL,5/27/2022,149.64
AAPL,5/26/2022,143.78
AAPL,5/25/2022,140.52
AAPL,5/24/2022,140.36
AAPL,5/23/2022,143.11
AAPL,5/20/2022,137.59
AAPL,5/19/2022,137.35
AAPL,5/18/2022,140.82
AAPL,5/17/2022,149.24
AAPL,5/16/2022,145.54
AAPL,5/13/2022,147.11
AAPL,5/12/2022,142.56
AAPL,5/11/2022,146.5
AAPL,5/10/2022,154.51
AAPL,5/9/2022,152.06
AAPL,5/6/2022,157.28
AAPL,5/5/2022,156.77
AAPL,5/4/2022,166.02
AAPL,5/3/2022,159.48
AAPL,5/2/2022,157.96
AAPL,4/29/2022,157.65
AAPL,4/28/2022,163.64
AAPL,4/27/2022,156.57
AAPL,4/26/2022,156.8
AAPL,4/25/2022,162.88
AAPL,4/22/2022,161.79
AAPL,4/21/2022,166.42
AAPL,4/20/2022,167.23
AAPL,4/19/2022,167.4
AAPL,4/18/2022,165.07
AAPL,4/14/2022,165.29
AAPL,4/13/2022,170.4
AAPL,4/12/2022,167.66
AAPL,4/11/2022,165.75
AAPL,4/8/2022,170.09
AAPL,4/7/2022,172.14
