symbol,price,ndx
AAPL,150.43,"11,311.24"
AAPL,152.74,"11,501.65"
AAPL,153.72,"11,637.79"
AAPL,156.9,"11,851.54"
AAPL,154.48,"11,953.28"
AAPL,150.7,"11,861.38"
AAPL,152.37,"11,927.49"
AAPL,155.43,"12,134.40"
AAPL,153.84,"12,033.62"
AAPL,163.43,"12,739.72"
AAPL,157.37,"12,588.29"
AAPL,154.45,"12,321.19"
AAPL,155.96,"12,259.39"
AAPL,154.53,"12,011.31"
AAPL,155.81,"12,098.44"
AAPL,157.96,"12,274.63"
AAPL,157.22,"12,272.03"
AAPL,158.91,"12,342.70"
AAPL,161.38,"12,484.32"
AAPL,163.62,"12,605.17"
AAPL,170.03,"13,143.58"
AAPL,167.53,"12,917.86"
AAPL,167.23,"12,881.79"
AAPL,167.57,"12,890.54"
AAPL,171.52,"13,242.90"
AAPL,174.15,"13,505.99"
AAPL,174.55,"13,470.86"
AAPL,173.03,"13,635.21"
AAPL,173.19,"13,667.18"
AAPL,172.1,"13,565.87"
AAPL,168.49,"13,291.99"
AAPL,169.24,"13,378.32"
AAPL,164.92,"13,008.17"
AAPL,164.87,"13,159.16"
AAPL,165.35,"13,207.69"
AAPL,165.81,"13,311.04"
AAPL,166.13,"13,253.26"
AAPL,160.01,"12,901.60"
AAPL,161.51,"12,940.78"
AAPL,162.51,"12,947.97"
AAPL,157.35,"12,717.87"
AAPL,156.79,"12,601.47"
AAPL,151.6,"12,086.90"
AAPL,152.95,"12,328.41"
AAPL,154.09,"12,396.47"
AAPL,155.35,"12,619.41"
AAPL,153.04,"12,439.68"
AAPL,151,"12,249.42"
AAPL,147.07,"11,877.50"
AAPL,150.17,"11,983.62"
AAPL,148.47,"11,768.39"
AAPL,145.49,"11,728.53"
AAPL,145.86,"11,744.99"
AAPL,144.87,"11,860.28"
AAPL,147.04,"12,125.69"
AAPL,146.35,"12,109.05"
AAPL,142.92,"11,852.59"
AAPL,141.56,"11,779.91"
AAPL,138.93,"11,585.68"
AAPL,136.72,"11,503.72"
AAPL,139.23,"11,658.26"
AAPL,137.44,"11,637.77"
AAPL,141.66,"11,987.36"
AAPL,141.66,"12,105.85"
AAPL,138.27,"11,697.68"
AAPL,135.35,"11,527.71"
AAPL,135.87,"11,546.76"
AAPL,131.56,"11,265.99"
AAPL,130.06,"11,127.57"
AAPL,135.43,"11,593.77"
AAPL,132.76,"11,311.69"
AAPL,131.88,"11,288.32"
AAPL,137.13,"11,832.82"
AAPL,142.64,"12,269.78"
AAPL,147.96,"12,615.13"
AAPL,148.71,"12,711.67"
AAPL,146.14,"12,599.63"
AAPL,145.38,"12,548.03"
AAPL,151.21,"12,892.89"
AAPL,148.71,"12,548.36"
AAPL,148.84,"12,642.10"
AAPL,149.64,"12,681.42"
AAPL,143.78,"12,276.79"
AAPL,140.52,"11,943.93"
AAPL,140.36,"11,769.84"
AAPL,143.11,"12,034.28"
AAPL,137.59,"11,835.62"
AAPL,137.35,"11,875.63"
AAPL,140.82,"11,928.31"
AAPL,149.24,"12,564.10"
AAPL,145.54,"12,243.58"
AAPL,147.11,"12,387.40"
AAPL,142.56,"11,945.50"
AAPL,146.5,"11,967.56"
AAPL,154.51,"12,345.86"
AAPL,152.06,"12,187.72"
AAPL,157.28,"12,693.54"
AAPL,156.77,"12,850.55"
AAPL,166.02,"13,535.71"
AAPL,159.48,"13,089.90"
AAPL,157.96,"13,075.85"
AAPL,157.65,"12,854.80"
AAPL,163.64,"13,456.06"
AAPL,156.57,"13,003.36"
AAPL,156.8,"13,009.71"
AAPL,162.88,"13,533.22"
AAPL,161.79,"13,356.87"
AAPL,166.42,"13,720.45"
AAPL,167.23,"13,998.53"
AAPL,167.4,"14,210.26"
AAPL,165.07,"13,910.76"
AAPL,165.29,"13,893.22"
AAPL,170.4,"14,217.29"
AAPL,167.66,"13,940.24"
AAPL,165.75,"13,990.20"
AAPL,170.09,"14,327.26"
AAPL,172.14,"14,531.81"
AAPL,171.83,"14,498.89"
AAPL,175.06,"14,820.64"
AAPL,178.44,"15,159.58"
AAPL,174.31,"14,861.21"
AAPL,174.61,"14,838.49"
AAPL,177.77,"15,071.55"
AAPL,178.96,"15,239.32"
AAPL,175.6,"14,987.40"
AAPL,174.72,"14,754.31"
AAPL,174.07,"14,765.69"
AAPL,170.21,"14,447.55"
AAPL,168.82,"14,654.33"
AAPL,165.38,"14,376.09"
AAPL,163.98,"14,420.08"
AAPL,160.62,"14,118.60"
AAPL,159.59,"13,956.78"
AAPL,155.09,"13,458.56"
AAPL,150.62,"13,046.64"
AAPL,154.73,"13,301.83"
AAPL,158.52,"13,591.00"
AAPL,162.95,"13,742.20"
AAPL,157.44,"13,267.60"
AAPL,159.3,"13,319.38"
AAPL,163.17,"13,837.83"
AAPL,166.23,"14,035.21"
AAPL,166.56,"14,243.69"
AAPL,163.2,"14,005.99"
AAPL,165.12,"14,237.81"
AAPL,164.85,"14,189.16"
AAPL,162.74,"13,974.67"
